IM240_0,v,a,times
IM240_1,20.344,0.132,0.09
IM240_2,33.654,0.435,0
UDDS_0,41.272,1.454,0.02
UDDS_1,18.188,0.307,0.2
UDDS_2,14.943,0.128,0.39
UDDS_3,52.342,0.051,0
UDDS_4,22.587,0.486,0.18
UDDS_5,20.992,0.103,0.21
UDDS_6,13.057,0.117,0.23
UDDS_7,10.356,0.074,0.4
UDDS_8,19.241,0.139,0.01
UDDS_9,28.039,0.019,0
UDDS_10,21.976,0.026,0.03
UDDS_11,11.854,0.239,0.31
UDDS_12,12.59,0.097,0.26
UDDS_13,15.344,0.192,0.08
FTPCOL_0,9.717,0.426,0.28
FTPCOL_1,18.188,0.307,0.2
FTPCOL_2,14.943,0.128,0.39
FTPCOL_3,52.342,0.051,0
FTPCOL_4,22.587,0.486,0.18
FTPCOL_5,20.992,0.103,0.21
FTPCOL_6,13.057,0.117,0.23
FTPCOL_7,10.356,0.074,0.4
FTPCOL_8,19.241,0.139,0.01
FTPCOL_9,28.039,0.019,0
FTPCOL_10,21.976,0.026,0.03
FTPCOL_11,11.854,0.239,0.31
FTPCOL_12,12.59,0.097,0.26
FTPCOL_13,15.344,0.192,0.08
FTPCOL_14,8.309,0.065,0.48
FTPCOL_15,22.63,0.225,0.07
FTPCOL_16,24.218,0.546,0.32
FTPCOL_17,46.339,0.532,0
FTPCOL_18,18.35,0.014,0.23
US06_0,21.805,0,0.17
US06_1,35.967,0.637,0.13
US06_2,44.246,0.006,0.08
US06_3,64.079,0.095,0
US06_4,71.482,0.017,0
US06_5,54.773,0.707,0.08
SC03_0,17.74,0.002,0.15
SC03_1,12.3,0.294,0.25
SC03_2,23.497,0.294,0.15
SC03_3,20.207,0.437,0.28
SC03_4,29.546,0.074,0.21
SC03_5,31.899,0.071,0
HUDDS_0,11.413,0.295,0.27
HUDDS_1,10.534,0.31,0.24
HUDDS_2,8.312,0.31,0.64
HUDDS_3,0.363,0.006,0.89
HUDDS_4,10.074,0.183,0.08
HUDDS_5,30.715,0.057,0
HUDDS_6,19.806,0.329,0.33
HUDDS_7,51.121,0.085,0
HUDDS_8,49.635,0.484,0
HUDDS_9,8.934,0.178,0.26
HUDDS_10,10.008,0.238,0.6
LA92_0,0.615,0,0.48
LA92_1,8.192,0.265,0.41
LA92_2,21.095,0.142,0.17
LA92_3,13.407,0.407,0.33
LA92_4,33.253,0.564,0.21
LA92_5,55.494,0.272,0
LA92_6,12.142,0.058,0.29
LA92_7,28.806,0.05,0
LA92_8,13.705,0.027,0.3
LA92_9,31.214,0.4,0.01
LA92_10,43.207,0.369,0.03
LA92_11,15.445,0.069,0.15
LA92_12,22.401,0.192,0.09
LA92_13,23.681,0.449,0.23
LA92_14,28.514,0.353,0.01
LA92S_0,8.063,0.362,0.1
LA92S_1,8.192,0.265,0.41
LA92S_2,21.095,0.142,0.17
LA92S_3,13.407,0.407,0.33
LA92S_4,33.253,0.564,0.21
LA92S_5,55.494,0.272,0
LA92S_6,12.142,0.058,0.29
LA92S_7,28.806,0.05,0
LA92S_8,13.705,0.027,0.3
LA92S_9,31.214,0.4,0.01
NEDC_0,49.788,0.966,0.04
NEDC_1,13.236,0,0.38
NEDC_2,22.552,0,0.3
NEDC_3,13.236,0,0.38
NEDC_4,22.552,0,0.3
NEDC_5,13.236,0,0.38
NEDC_6,22.59,0.075,0.29
NEDC_7,13.198,0.075,0.39
NEDC_8,22.552,0,0.3
NEDC_9,54.301,0.55,0.04
NEDC_10,54.475,0.15,0
NEDC_11,84.4,0.31,0
ECECOL_0,68.097,1.217,0.21
ECECOL_1,13.236,0,0.38
EUDC_0,23.739,0,0.25
EUDC_1,43.476,0.7,0.2
EUDC_2,54.1,0,0
EUDC_3,79.6,0.3,0
EUDCL_0,73.202,1.01,0.21
EUDCL_1,43.476,0.7,0.2
EUDCL_2,54.1,0,0
EUDCL_3,77.5,0.2,0
JPN10_0,62.852,0.909,0.21
JPN10_1,15.38,0.26,0.37
JPN15_0,24.343,0.765,0.01
JPN15_1,12.9,0.4,0.65
JPN15_2,59.604,0.1,0
J1015_0,18.548,1.667,0.11
J1015_1,12.9,0.4,0.65
J1015_2,59.604,0.1,0
J1015_3,9.978,0.414,0.55
J1015_4,19.672,0.086,0.28
J1015_5,17.667,0.283,0.27
J1015_6,12.205,0.031,0.38
J1015_7,17.928,0.314,0.41
J1015_8,35.404,0.7,0.25
WLTP_0,47.088,0.778,0.11
WLTP_1,22.106,0,0.13
WLTP_2,13.716,0.14,0.37
WLTP_3,37.719,0.331,0
WLTP_4,21.874,0.215,0.06
WLTP_5,8.745,0.256,0.56
WLTP_6,7.243,0.01,0.48
WLTP_7,36.931,0.202,0
WLTP_8,38.823,0.201,0
WLTP_9,55.954,0.196,0
WLTP_10,39.504,0.609,0.15
WLTP_11,31.187,0.589,0.26
WLTP_12,53.432,0.279,0
WLTP_13,91.836,0.089,0
WLTP_14,66.464,0.288,0
WLTP_15,20.356,0.022,0.27
WLTP_16,90.618,0.582,0
WLTP_17,116.666,0.188,0
ARB02_0,84.412,1.296,0.06
ARB02_1,23.479,0.438,0.15
ARB02_2,22.402,0.438,0.11
ARB02_3,21.173,0.33,0.14
ARB02_4,20.252,0.315,0.15
ARB02_5,24.238,0.008,0.1
ARB02_6,17.571,0.023,0.25
ARB02_7,54.759,0.562,0.02
ARB02_8,45.367,0.031,0.05
ARB02_9,63.954,0.201,0
ARB02_10,46.676,0.357,0.05
ARB02_11,76.008,0.018,0
ARB02_12,40.385,0.255,0
ARB02_13,47.092,0.084,0.05
ARB02_14,62.31,0.062,0
ARB02_15,70.78,0.084,0
ARB02_16,68.147,0.084,0
ARTERIAL_0,23.461,1.637,0.15
ARTERIAL_1,19.716,0.249,0.26
ARTERIAL_2,29.766,0.151,0.07
CBDTRUCK_0,24.791,0.444,0.14
CBDTRUCK_1,7.218,0.15,0.3
CBDTRUCK_2,9.634,0.132,0.2
CBDTRUCK_3,10.838,0.076,0.1
CBDTRUCK_4,7.9,0.068,0.21
CBDTRUCK_5,9.371,0.129,0.2
CBDTRUCK_6,10.969,0.034,0.1
CBDTRUCK_7,8.056,0.107,0.21
CBDTRUCK_8,9.114,0.126,0.2
COMUTER_0,10.974,0.098,0.06
COMUTER_1,32.345,0.544,0.19
COMUTER_2,54.968,0.006,0
COMUTER_3,54.812,0.152,0
NYCTRUCK_0,4.056,0.812,0.4
NYCTRUCK_1,0.377,0,0.86
NYCTRUCK_2,7.205,0.094,0.4
NYCTRUCK_3,11.631,0.094,0.5
NYCTRUCK_4,0.539,0.089,0.82
NYCTRUCK_5,18.576,0.035,0
NYCTRUCK_6,0.44,0.037,0.86
NYCTRUCK_7,6.456,0.067,0.46
NYCTRUCK_8,12.401,0.084,0.42
NYCTRUCK_9,0.369,0,0.88
NYCTRUCK_10,17.517,0.234,0.02
MANHATTAN_0,8.192,1.559,0.06
MANHATTAN_1,6.945,0,0.37
MANHATTAN_2,6.336,0.072,0.33
MANHATTAN_3,6.855,0.089,0.38
MANHATTAN_4,6.297,0.075,0.37
MANHATTAN_5,6.565,0.07,0.37
MANHATTAN_6,8.008,0.097,0.39
MANHATTAN_7,6.403,0.009,0.4
MANHATTAN_8,7.439,0.068,0.2
MANHATTAN_9,6.854,0,0.43
MANHATTAN_10,5.926,0,0.33
NurembergR36_0,7.568,0,0.36
NurembergR36_1,2.999,0.004,0.46
NurembergR36_2,5.105,0.109,0.33
NurembergR36_3,6.14,0.122,0.29
NurembergR36_4,9.418,0.05,0.31
NurembergR36_5,9.374,0.072,0.16
NurembergR36_6,5.952,0.123,0.41
NurembergR36_7,6.733,0.271,0.29
NurembergR36_8,16.19,0.143,0.12
NurembergR36_9,7.148,0.071,0.49
NurembergR36_10,14.076,0.192,0.25
NYCCOMP_0,16.457,0.008,0.21
NYCCOMP_1,1.254,0,0.64
NYCCOMP_2,0.529,0.014,0.71
NYCCOMP_3,0.587,0.014,0.7
NYCCOMP_4,4.616,0.03,0.33
NYCCOMP_5,11.726,0.219,0.06
NYCCOMP_6,18.707,0.015,0
NYCCOMP_7,14.836,0.161,0
NYCCOMP_8,11.006,0.127,0
NYCCOMP_9,25.369,0.127,0
NYCCOMP_10,1.627,0.074,0.67
REP05_0,0,0,0.29
REP05_1,57.595,0.696,0.03
REP05_2,67.426,0.008,0
REP05_3,65.076,0.105,0
REP05_4,50.525,0.449,0.02
